pipeline_name,state_name,label_space,group_id,k,units_total,duplicate_units,excess_duplicates_total,synergies_total,units_nsyn_gt_k,duplicate_pairs_total,within_unit_pairs_total,scope,duplicate_unit_rate,excess_duplicate_ratio,duplicate_pair_rate,units_nsyn_gt_k_rate
paper_like,state1_paper_like_unconstrained,canonical_label,global_nonstep,6,72,25,27,270,0,27,408,group,0.3472222222222222,0.1,0.0661764705882353,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,global_step,11,53,3,3,233,0,3,444,group,0.05660377358490566,0.012875536480686695,0.006756756756756757,0.0
paper_like,state1_paper_like_unconstrained,canonical_label,__overall__,-1,125,28,30,503,0,30,852,overall,0.224,0.05964214711729622,0.035211267605633804,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_nonstep,6,72,25,27,270,0,27,408,group,0.3472222222222222,0.1,0.0661764705882353,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,global_step,11,53,3,3,233,0,3,444,group,0.05660377358490566,0.012875536480686695,0.006756756756756757,0.0
paper_like,state1_paper_like_unconstrained,raw_group_label,__overall__,-1,125,28,30,503,0,30,852,overall,0.224,0.05964214711729622,0.035211267605633804,0.0
production,state2_production_pre_forced,raw_group_label,global_nonstep,5,72,18,19,260,0,19,361,group,0.25,0.07307692307692308,0.05263157894736842,0.0
production,state2_production_pre_forced,raw_group_label,global_step,7,53,17,22,226,0,23,400,group,0.32075471698113206,0.09734513274336283,0.0575,0.0
production,state2_production_pre_forced,raw_group_label,__overall__,-1,125,35,41,486,0,42,761,overall,0.28,0.08436213991769548,0.05519053876478318,0.0
production,state3_production_post_forced,raw_group_label,global_nonstep,5,72,0,0,260,0,0,361,group,0.0,0.0,0.0,0.0
production,state3_production_post_forced,raw_group_label,global_step,7,53,0,0,226,0,0,400,group,0.0,0.0,0.0,0.0
production,state3_production_post_forced,raw_group_label,__overall__,-1,125,0,0,486,0,0,761,overall,0.0,0.0,0.0,0.0
